sample_id,dataset,cancer type,origin,donor,sample type,number of ctcs,number of wbcs attached,timepoint
GSM5452727,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,resting
GSM5452728,GSE180097,breast,xenograft,BR16,ctc_cluster,2,NULL,resting
GSM5452729,GSE180097,breast,xenograft,BR16,ctc_cluster,5,NULL,resting
GSM5452730,GSE180097,breast,xenograft,BR16,ctc_cluster,3,NULL,resting
GSM5452731,GSE180097,breast,xenograft,BR16,ctc_cluster,6,NULL,resting
GSM5452732,GSE180097,breast,xenograft,BR16,ctc_cluster,11,NULL,resting
GSM5452733,GSE180097,breast,xenograft,BR16,ctc_cluster,5,NULL,resting
GSM5452734,GSE180097,breast,xenograft,BR16,ctc_cluster,6,NULL,resting
GSM5452735,GSE180097,breast,xenograft,BR16,ctc_cluster,10,NULL,resting
GSM5452736,GSE180097,breast,xenograft,BR16,ctc_cluster,3,NULL,resting
GSM5452737,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,resting
GSM5452738,GSE180097,breast,xenograft,BR16,ctc_cluster,11,NULL,resting
GSM5452739,GSE180097,breast,xenograft,BR16,ctc_cluster,12,NULL,resting
GSM5452740,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,resting
GSM5452741,GSE180097,breast,xenograft,BR16,ctc_cluster,6,NULL,resting
GSM5452742,GSE180097,breast,xenograft,BR16,ctc_cluster,15,NULL,resting
GSM5452743,GSE180097,breast,xenograft,BR16,ctc_cluster,8,NULL,resting
GSM5452744,GSE180097,breast,xenograft,BR16,ctc_cluster,2,NULL,resting
GSM5452745,GSE180097,breast,xenograft,BR16,ctc_cluster,5,NULL,resting
GSM5452746,GSE180097,breast,xenograft,BR16,ctc_cluster,6,NULL,resting
GSM5452747,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,resting
GSM5452748,GSE180097,breast,xenograft,BR16,ctc_cluster,6,NULL,resting
GSM5452749,GSE180097,breast,xenograft,BR16,ctc_cluster,10,NULL,resting
GSM5452750,GSE180097,breast,xenograft,BR16,ctc_cluster,7,NULL,resting
GSM5452751,GSE180097,breast,xenograft,BR16,ctc_cluster,3,NULL,resting
GSM5452752,GSE180097,breast,xenograft,BR16,ctc_cluster,6,NULL,resting
GSM5452753,GSE180097,breast,xenograft,BR16,ctc_cluster,11,NULL,resting
GSM5452754,GSE180097,breast,xenograft,BR16,ctc_cluster,2,NULL,active
GSM5452755,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,active
GSM5452756,GSE180097,breast,xenograft,BR16,ctc_cluster,3,NULL,active
GSM5452757,GSE180097,breast,xenograft,BR16,ctc_cluster,7,NULL,active
GSM5452758,GSE180097,breast,xenograft,BR16,ctc_cluster,3,NULL,active
GSM5452759,GSE180097,breast,xenograft,BR16,ctc_cluster,6,NULL,active
GSM5452760,GSE180097,breast,xenograft,BR16,ctc_cluster,5,NULL,active
GSM5452761,GSE180097,breast,xenograft,BR16,ctc_cluster,2,NULL,active
GSM5452762,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,active
GSM5452763,GSE180097,breast,xenograft,BR16,ctc_cluster,3,NULL,active
GSM5452764,GSE180097,breast,xenograft,BR16,ctc_cluster,2,NULL,active
GSM5452765,GSE180097,breast,xenograft,BR16,ctc_cluster,5,NULL,active
GSM5452766,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,active
GSM5452767,GSE180097,breast,xenograft,BR16,ctc_cluster,3,NULL,active
GSM5452768,GSE180097,breast,xenograft,BR16,ctc_cluster,2,NULL,active
GSM5452769,GSE180097,breast,xenograft,BR16,ctc_cluster,4,NULL,active
